id;nom;image;image_content_type;nb_questions;principal
1;array seamless;../fake-data/blob/hipster.png;image/png;54257;true
2;Cambridgeshire Home;../fake-data/blob/hipster.png;image/png;26551;false
3;Switchable Gorgeous;../fake-data/blob/hipster.png;image/png;48625;true
4;black;../fake-data/blob/hipster.png;image/png;1073;true
5;global Nebraska program;../fake-data/blob/hipster.png;image/png;78763;false
6;AGP input Licensed;../fake-data/blob/hipster.png;image/png;21792;false
7;Aruba District Applications;../fake-data/blob/hipster.png;image/png;89906;false
8;productivity niches payment;../fake-data/blob/hipster.png;image/png;76464;true
9;Granite Shirt;../fake-data/blob/hipster.png;image/png;66750;true
10;Fresh Operations;../fake-data/blob/hipster.png;image/png;46535;true
